query_wo_tones,query,impressions,position,gg_impressions,gg_position,api_result,pv_result,pv,gg,count
vi xu ly,Vi xử lý,147.0,1.0,,,40.0,59.0,1,0,1
3468,3468,817.0,1.0,,,8.0,9.0,1,0,1
fx503,fx503,201.0,1.0,,,2.0,3.0,1,0,1
g4600,g4600,3917.0,1.0,8824.0,3.5991863145,1.0,1.0,1,1,2
golden field,golden field,384.0,1.0,,,24.0,30.0,1,0,1
gtx 1060 gia,gtx 1060 giá,442.1162606,,1287.0,1.894967464,324.0,0.0,0,1,1
h31,h31,221.0,1.0,,,20.0,21.0,1,0,1
hdd 1tb,hdd 1tb,937.0,1.0,3938.0,1.603351955,73.0,69.0,1,1,1
laptop dell xps 13,laptop dell xps 13,365.1667327,,1063.0,6.403574788,1.0,0.0,0,1,1
nuc,nuc,1717.0,1.0,,,5.0,4.0,1,0,1
ssd 512gb,ssd 512gb,54.0,1.0,1270.0,2.362204724,11.0,13.0,1,1,1
ssd intel 545s,ssd intel 545s,246.9942435,,719.0,4.518776078,6.0,7.0,0,1,1
2385,2385,3288.0,1.0,,,2.0,2.0,1,0,1
250,250,759.0,1.0,,,16.0,89.0,1,0,1
310,310,1358.0,1.0,,,11.0,53.0,1,0,1
asus fx503vd-e4082t,asus fx503vd-e4082t,460.6665932,,1341.0,2.791200597,371.0,1.0,0,1,1
ddr3 4gb laptop,ddr3 4gb laptop,683.957634,,1991.0,1.572576595,3.0,4.0,0,1,1
dell inspiron 7567,dell inspiron 7567,258.0,1.0,,,252.0,1.0,1,0,1
i3 81,i3 81,317.0,1.0,,,38.0,16.0,1,0,1
i3 8100,i3 8100,5643.0,1.0,32153.0,3.6796908433333333,404.0,29.0,1,1,3
kaspersky,kaspersky,1646.0,1.0,21775.0,9.431687715,16.0,9.0,1,1,1
may tinh bo,máy tính bộ,217.0,1.0,1992.0,1.603371486,66.0,7.0,1,1,1
msi z370,msi z370,10022.0,1.0,204.0,6.700980392,11.0,11.0,1,1,1
ssd kingston 120gb,ssd kingston 120gb,1357.266003,,3951.0,2.336370539,4.0,5.0,0,1,1
unitek,unitek,1242.0,1.0,368.0,7.796195652,60.0,56.0,1,1,1
xig,xig,164.0,1.0,,,16.0,0.0,1,0,1
4gb,4gb,2430.0,1.0,111.0,1.963963964,125.0,203.0,1,1,1
asrock b360 gaming k4,asrock b360 gaming k4,336.6541845,,980.0,3.85,1.0,2.0,0,1,1
asrock h110m-hdv,asrock h110m-hdv,293.0265504,,853.0,4.947245018,1.0,1.0,0,1,1
asrock h310m-hdv,asrock h310m-hdv,434.5587177,,1265.0,3.849011858,2.0,3.0,0,1,1
asus fx503vd,asus fx503vd,100.0,1.0,3446.0,6.400174115,1.0,2.0,1,1,1
asus vivobook s14 s410ua-eb003t,asus vivobook s14 s410ua-eb003t,206.4583315,,601.0,5.425956739,43.0,0.0,0,1,1
b250m,b250m,824.0,1.0,354.0,2.533898305,3.0,8.0,1,1,1
bo luu dien santak,bộ lưu điện santak,188.5950482,,549.0,3.557377049,12.0,21.0,0,1,1
chuot fuhlen g90 pro,chuột fuhlen g90 pro,169.0141416,,492.0,2.849593496,1.0,2.0,0,1,1
dell i5,dell i5,483.0,1.0,681.0,7.28928047,34.0,52.0,1,1,1
gia treo tai nghe,giá treo tai nghe,297.0,1.0,2485.0,2.044925047,2.0,1.0,1,1,1
inspiron,inspiron,1364.0,1.0,450.0,3.76,73.0,97.0,1,1,1
keo tan nhiet cpu,keo tản nhiệt cpu,681.8964859,,1985.0,6.34119027,1.0,2.0,0,1,1
man hinh gaming,màn hình gaming,263.1399034,,766.0,3.467630785,23.0,26.0,0,1,1
msi h110,msi h110,346.0,1.0,161.0,5.534161491,1.0,4.0,1,1,1
new,new,161.0,1.0,,,77.0,2.0,1,0,1
nguon may tinh,nguồn máy tính,57.0,1.0,9700.0,2.720709087,2804.0,0.0,1,1,1
power,power,765.0,1.0,,,232.0,260.0,1,0,1
ssd m2 pcie,ssd m2 pcie,223.9780901,,652.0,6.044478528,174.0,1.0,0,1,1
toshiba,toshiba,368.0,1.0,,,70.0,38.0,1,0,1
ultra,ultra,190.0,1.0,,,35.0,32.0,1,0,1
160,160,377.0,1.0,,,48.0,58.0,1,0,1
card man,card màn,240.0,1.0,,,108.0,112.0,1,0,1
cpu amd,cpu amd,305.0,1.0,713.0,4.342215989,12.0,19.0,1,1,1
gt1030,gt1030,389.0,1.0,1466.0,2.223055935,6.0,6.0,1,1,1
intel core,intel core,274.0,1.0,,,21.0,7.0,1,0,1
intel g4560,intel g4560,324.9743454,,946.0,4.312896406,2.0,2.0,0,1,1
main asus h81,main asus h81,549.2959602,,1599.0,3.200125078,1030.0,0.0,0,1,1
mainboard asrock,mainboard asrock,1648.0,1.0,78.0,4.333333333,12.0,216.0,1,1,1
may scan canon lide 120,máy scan canon lide 120,190.999721,,556.0,2.431654676,1.0,0.0,0,1,1
msi z370 gaming plus,msi z370 gaming plus,54.0,1.0,447.0,6.275167785,1.0,6.0,1,1,1
p400,p400,154.0,1.0,,,3.0,2.0,1,0,1
pc giao su,pc giáo sư,801.0,1.0,,,330.0,0.0,1,0,1
phim co fuhlen,phím cơ fuhlen,64.0,1.0,1261.0,3.082474227,4.0,7.0,1,1,1
asus vivobook a510uf-ej182t/i7-8550u,asus vivobook a510uf-ej182t/i7-8550u,149.4332349,,435.0,2.232183908,25.0,2.0,0,1,1
b150,b150,476.0,1.0,,,26.0,5.0,1,0,1
b36,b36,533.0,1.0,,,32.0,34.0,1,0,1
dell 3567 i3,dell 3567 i3,176.5716845,,514.0,6.03307393,318.0,2.0,0,1,1
dell 7570,dell 7570,273.0,1.0,2039.0,5.516920059,4.0,4.0,1,1,1
fan led,fan led,429.0,1.0,,,14.0,11.0,1,0,1
liteon 120gb_ph5-ce120 sata 2.5,liteon 120gb_ph5-ce120 sata 2.5,158.7084013,,462.0,1.015151515,112.0,0.0,0,1,1
loa keo,loa kéo,638.0,1.0,,,12.0,16.0,1,0,1
logitec,logitec,553.0,1.0,,,125.0,129.0,1,0,1
may scan canon lide 220,máy scan canon lide 220,333.5624624,,971.0,2.445932029,1.0,0.0,0,1,1
passport,passport,443.0,1.0,,,31.0,21.0,1,0,1
win 7 loader,win 7 loader,367.9149302,,1071.0,3.564892624,712.0,0.0,0,1,1
core,core,1880.0,1.0,,,28.0,71.0,1,0,1
de tan nhiet cho laptop,đế tản nhiệt cho laptop,291.6524516,,849.0,4.830388693,961.0,16.0,0,1,1
infinity,infinity,398.0,1.0,,,1.0,4.0,1,0,1
jabra,jabra,223.0,1.0,,,21.0,29.0,1,0,1
laptop 2018 dang mua,laptop 2018 đáng mua,212.6417757,,619.0,2.940226171,603.0,0.0,0,1,1
man hinh cong 27 inch,màn hình cong 27 inch,271.040971,,789.0,2.344740177,1867.0,11.0,0,1,1
vga asus geforce gt 1030 2 g,vga asus geforce gt 1030 2 g,322.0,1.0,567.0,5.105820106,2.0,702.0,1,1,1
1703737,1703737,217.0,1.0,,,1.0,1.0,1,0,1
570,570,330.0,1.0,,,13.0,37.0,1,0,1
850 evo,850 evo,241.0,1.0,114.0,3.219298246,1.0,4.0,1,1,1
chuot ban phim,chuột bàn phím,180.0,1.0,267.0,1.254681648,38.0,39.0,1,1,1
ddr4 16gb,ddr4 16gb,153.0,1.0,90.0,2.677777778,80.0,67.0,1,1,1
logitech m337,logitech m337,52.0,1.0,919.0,3.573449402,3.0,3.0,1,1,1
man hinh dell ultrasharp,màn hình dell ultrasharp,1070.766421,,3117.0,1.09844081,1.0,38.0,0,1,1
may in mau epson l805,máy in màu epson l805,275.1632671,,801.0,2.578027466,2381.0,0.0,0,1,1
may tinh cay,máy tính cây,207.0,1.0,1981.0,8.476022211,1.0,2.0,1,1,1
ram 8gb ddr3 bus 1600,ram 8gb ddr3 bus 1600,304.3628647,,886.0,1.680586907,271.0,4.0,0,1,1
the nho 64gb samsung,thẻ nhớ 64gb samsung,172.7929131,,503.0,4.795228628,1.0,9.0,0,1,1
the nho samsung,thẻ nhớ samsung,53.0,1.0,427.0,7.683840749,3.0,4.0,1,1,1
6700,6700,344.0,1.0,,,47.0,1.0,1,0,1
adata xpg,adata xpg,207.0,1.0,,,4.0,9.0,1,0,1
asus 1060,asus 1060,193.0,1.0,,,2.0,1.0,1,0,1
bo mach chinh,bo mạch chính,623.0,1.0,,,166.0,213.0,1,0,1
chip i3 8100,chip i3 8100,239.0931759,,696.0,4.658045977,256.0,0.0,0,1,1
chuot bluetooth logitech,chuột bluetooth logitech,322.226148,,938.0,5.888059701,587.0,0.0,0,1,1
corsair 570x,corsair 570x,1045.0,1.0,121.0,3.909090909,4.0,4.0,1,1,1
epson l1800,epson l1800,53.0,1.0,1684.0,4.257125891,1.0,1.0,1,1,1
fan case,fan case,898.0,1.0,838.0,2.713603819,34.0,23.0,1,1,1
man hinh benq,màn hình benq,77.0,1.0,946.0,2.827002186,3619.0,4.0,1,1,1
o ssd 256gb,ổ ssd 256gb,196.4961158,,572.0,1.442307692,15.0,0.0,0,1,1
viewsonic vx2476-smhd,viewsonic vx2476-smhd,382.3429667,,1113.0,3.361185984,12.0,1.0,0,1,1
16g,16G,334.0,1.0,,,112.0,114.0,1,0,1
aio,aio,811.0,1.0,,,36.0,28.0,1,0,1
apple,apple,2862.0,1.0,,,73.0,34.0,1,0,1
asus ux,Asus ux,333.0,1.0,,,21.0,17.0,1,0,1
camera giam sat,camera giám sát,787.3585621,,2292.0,9.390924956,738.0,0.0,0,1,1
dell inspiron 5570,dell inspiron 5570,300.0,1.0,2151.0,7.021850302,4.0,5.0,1,1,1
jbl,Jbl,239.0,1.0,,,3.0,2.0,1,0,1
lenovo laptop,lenovo laptop,89.0,1.0,1012.0,7.360671937,97.0,86.0,1,1,1
logitech g703,logitech g703,59.0,1.0,683.0,7.402635432,1.0,1.0,1,1,1
may pc,máy pc,68.0,1.0,422.0,2.523743202,167.0,205.0,1,1,1
nguon cooler master,nguồn cooler master,377.5336212,,1099.0,1.553230209,14.0,0.0,0,1,1
pavilion 15,pavilion 15,22819.0,1.0,,,24.0,36.0,1,0,1
photoshop cc 2018,photoshop cc 2018,237.7190772,,692.0,8.813583815,66.0,0.0,0,1,1
pin dell,pin dell,479.0,1.0,447.0,2.863534676,26.0,7.0,1,1,1
pin sac du phong,pin sạc dự phòng,9413.0,1.0,,,111.0,118.0,1,0,1
1070,1070,8069.0,1.0,1223.0,4.641864268,24.0,13.0,1,1,1
6100,6100,262.0,1.0,,,4.0,9.0,1,0,1
ban tai nghe bluetooth,bán tai nghe bluetooth,237.3755525,,691.0,6.778581766,599.0,0.0,0,1,1
bo nguon,bộ nguồn,331.0,1.0,,,101.0,27.0,1,0,1
canon 6230,canon 6230,329.4401662,,959.0,2.369134515,1.0,0.0,0,1,1
gigabyte h81m-ds2,gigabyte h81m-ds2,2066.300938,,6015.0,3.466832918,1.0,1.0,0,1,1
gtx 1070 ti,gtx 1070 ti,426.0,1.0,831.0,3.187725632,80.0,5.0,1,1,1
may tinh bang,máy tính bảng,1392.0,1.0,3357.0,11.27553382,128.0,36.0,1,1,1
msi gv72 7re,msi gv72 7re,141.5321673,,412.0,7.276699029,547.0,1.0,0,1,1
nang ram laptop,nâng ram laptop,237.7190772,,692.0,1.252890173,2327.0,0.0,0,1,1
ram ddr4 4gb,ram ddr4 4gb,329.0,1.0,2668.0,1.176911544,31.0,181.0,1,1,1
rx570,rx570,260.0,1.0,,,3.0,1.0,1,0,1
tai nghe,tai nghe,51270.0,1.0,66142.0,7.50485601975,1874.0,438.0,1,1,4
box hdd 2.5,box hdd 2.5,243.215472,,708.0,3.077683616,18.0,0.0,0,1,1
canon 6030w,canon 6030w,455.1701984,,1325.0,2.857358491,1.0,1.0,0,1,1
deepcool,deepcool,232.0,1.0,185.0,4.318918919,15.0,16.0,1,1,1
fulhen,fulhen,405.0,1.0,,,14.0,0.0,1,0,1
heatsink,heatsink,244.0,1.0,,,19.0,14.0,1,0,1
i5 2400,i5 2400,270.0,1.0,,,37.0,2.0,1,0,1
laptop choi game 2018,laptop chơi game 2018,175.8846352,,512.0,1.845703125,94.0,0.0,0,1,1
loa 4.1,loa 4.1,257.9870332,,751.0,2.310252996,1.0,0.0,0,1,1
loa microlab,loa microlab,334.0,1.0,11758.0,3.191869366,22.0,24.0,1,1,1
logitech b100,logitech b100,165.0,1.0,2250.0,1.396888889,1.0,1.0,1,1,1
ssd apacer 120gb,ssd apacer 120gb,313.2945064,,912.0,2.868421053,379.0,1.0,0,1,1
usb c,usb c,1060.0,1.0,,,49.0,264.0,1,0,1
adata su800,adata su800,177.2587339,,516.0,2.765503876,1.0,1.0,0,1,1
asus x299,asus x299,187.0,1.0,,,3.0,5.0,1,0,1
ban phim logitech k380,bàn phím logitech k380,163.5177467,,476.0,5.155462185,309.0,29.0,0,1,1
card do hoa,card đồ họa,283.0,1.0,7980.0,4.043102722,590.0,143.0,1,1,1
cpu g4400,cpu g4400,71.0,1.0,3715.0,2.584656797,1.0,1.0,1,1,1
dau chuyen,đầu chuyển,255.0,1.0,,,7.0,7.0,1,0,1
day sac,dây sạc,248.0,1.0,,,17.0,17.0,1,0,1
ddr3 1333,Ddr3 1333,167.0,1.0,,,5.0,6.0,1,0,1
dell p2317h,dell p2317h,579.5261318,,1687.0,3.487848251,3.0,1.0,0,1,1
dell vostro 5568 i5 7200u,dell vostro 5568 i5 7200u,203.7101341,,593.0,6.531197302,1.0,9.0,0,1,1
g450,g450,191.0,1.0,,,3.0,4.0,1,0,1
i5 6500,i5 6500,74.0,1.0,3913.0,3.671096346,9.0,0.0,1,1,1
jax,jax,376.0,1.0,,,1.0,1.0,1,0,1
laptop asus core i5,laptop asus core i5,243.5589967,,709.0,9.146685472,214.0,27.0,0,1,1
main h110 msi,main h110 msi,150.1202843,,437.0,1.533180778,889.0,0.0,0,1,1
ssd intel 120gb,ssd intel 120gb,288.2172049,,839.0,2.842669845,224.0,1.0,0,1,1
tui xach,túi xách,210.0,1.0,,,31.0,25.0,1,0,1
1704869,1704869,232.0,1.0,,,1.0,1.0,1,0,1
7370,7370,252.0,1.0,,,2.0,4.0,1,0,1
7460,7460,243.0,1.0,,,20.0,0.0,1,0,1
ada,ada,193.0,1.0,,,184.0,69.0,1,0,1
bo luu dien,bộ lưu điện,766.0,1.0,8894.0,2.172873467,27.0,21.0,1,1,1
iphon,iphon,166.0,1.0,,,23.0,94.0,1,0,1
ram gskill 4gb,ram gskill 4gb,215.0464484,,626.0,1.003194888,916.0,0.0,0,1,1
router,router,1671.0,1.0,8096.0,2.148838933,137.0,29.0,1,1,1
usb wifi,usb wifi,2171.0,1.0,26878.0,3.759431505,3.0,2.0,1,1,1
120gb,120gb,933.0,1.0,,,16.0,25.0,1,0,1
a320,a320,1549.0,1.0,,,5.0,6.0,1,0,1
bo may tinh,bộ máy tính,255.0,1.0,532.0,1.11832509,34.0,7.0,1,1,1
cooler,cooler,879.0,1.0,,,58.0,38.0,1,0,1
fx504gd,fx504gd,77.0,1.0,890.0,5.537078652,2.0,3.0,1,1,1
kington,kington,173.0,1.0,,,75.0,0.0,1,0,1
logitech m185,logitech m185,309.5157349,,901.0,4.836847947,3.0,3.0,0,1,1
nguon acbel 450w,nguồn acbel 450w,169.3576663,,493.0,1.60040568,3.0,4.0,0,1,1
viewsonic,viewsonic,1585.0,1.0,3634.0,5.807925151,11.0,10.0,1,1,1
980,980,254.0,1.0,,,45.0,4.0,1,0,1
cap hdmi,cáp hdmi,5242.0,1.0,187.0,12.00534759,57.0,53.0,1,1,1
core i5 gia bao nhieu,core i5 giá bao nhiêu,196.4961158,,572.0,1.924825175,158.0,0.0,0,1,1
epson lq 310,epson lq 310,64.0,1.0,1157.0,4.17545376,1.0,1.0,1,1,1
ghe choi game,ghế chơi game,183.0,1.0,468.0,13.05982906,691.0,25.0,1,1,1
ghe gaming,ghế gaming,723.0,1.0,3357.0,9.876417501,31.0,25.0,1,1,1
ideapad 320,Ideapad 320,182.0,1.0,,,12.0,18.0,1,0,1
intel core i3 8100,intel core i3 8100,161.0,1.0,1249.0,4.001601281,1.0,6.0,1,1,1
man hinh 22 inch,màn hình 22 inch,213.3288251,,621.0,1.1352657,1467.0,1.0,0,1,1
modem wifi,modem wifi,5754.038357,,16750.0,4.771701493,1.0,0.0,0,1,1
srz,srz,208.0,1.0,,,1.0,1.0,1,0,1
totolink n200re,totolink n200re,706.286738,,2056.0,6.84192607,1.0,1.0,0,1,1
workstation,workstation,364.0,1.0,5684.0,2.536945813,3.0,3.0,1,1,1
x510,x510,191.0,1.0,,,4.0,8.0,1,0,1
zidli,zidli,2718.0,1.0,1397.0,2.397995705,24.0,40.0,1,1,1
dell ultrasharp u2417h,dell ultrasharp u2417h,1228.444249,,3576.0,4.051174497,248.0,0.0,0,1,1
h150,h150,157.0,1.0,,,3.0,3.0,1,0,1
laptop 12 inch,laptop 12 inch,190.3126716,,554.0,5.689530686,1125.0,0.0,0,1,1
m436,m436,10926.0,1.0,,,2.0,3.0,1,0,1
may tinh de ban dell nguyen bo,máy tính để bàn dell nguyên bộ,156.6472532,,456.0,4.175438596,918.0,211.0,0,1,1
nguon may tinh 500w,nguồn máy tính 500w,204.0536588,,594.0,3.321548822,1543.0,0.0,0,1,1
tai nghe razer,tai nghe razer,552.0,1.0,3567.0,7.513316512,13.0,14.0,1,1,1
u2417h,u2417h,511.0,1.0,3331.0,5.370159111,1.0,1.0,1,1,1
240gb,240GB,380.0,1.0,,,17.0,13.0,1,0,1
24mp59,24mp59,810.0,1.0,467.0,4.689507495,1.0,1.0,1,1,1
3670,3670,691.0,1.0,,,18.0,22.0,1,0,1
asus x00id,asus x00id,1562.006711,,4547.0,3.371013855,3.0,2.0,0,1,1
ban phim pc,bàn phím pc,143.5933154,,418.0,2.396313364,1884.0,0.0,0,1,1
cai win tren ssd,cài win trên ssd,171.0752897,,498.0,1.010001777,59.0,0.0,0,1,1
chuot fuhlen,chuột fuhlen,874.0,1.0,8985.0,2.132593808,7.0,9.0,1,1,1
core i7,core i7,2908.0,1.0,6818.0,2.268113816,5.0,15.0,1,1,1
corsair harpoon,corsair harpoon,115.0,1.0,2062.0,5.282250242,1.0,1.0,1,1,1
dell ins,dell ins,215.0,1.0,,,75.0,77.0,1,0,1
dell ultrasharp,dell ultrasharp,269.0,1.0,3929.0,3.385594299,1.0,2.0,1,1,1
hp m402dn,hp m402dn,375.4724731,,1093.0,3.101555352,1.0,1.0,0,1,1
hp spectre 13,hp spectre 13,500.1719312,,1456.0,3.692994505,1.0,3.0,0,1,1
kingmax,kingmax,1457.0,1.0,323.0,5.944272446,39.0,48.0,1,1,1
laptop dell inspiron 15,laptop dell inspiron 15,94.0,1.0,961.0,6.585848075,13.0,75.0,1,1,1
laptop nen mua 2018,laptop nên mua 2018,196.4961158,,572.0,1.786713287,277.0,0.0,0,1,1
may anh,máy ảnh,393.0,1.0,,,4.0,54.0,1,0,1
o cung di dong 1tb,ổ cứng di động 1tb,316.0,1.0,5204.0,3.835283868,932.0,132.0,1,1,1
tan nhiet laptop,tản nhiệt laptop,3176.572698,1.0,14574.0,2.9158850330000003,706.0,17.0,1,1,2
xb550ap,XB550AP,366.0,1.0,,,6.0,5.0,1,0,1
xeon,xeon,1869.0,1.0,1320.0,4.458333333,4.0,4.0,1,1,1
110,110,2148.0,1.0,,,15.0,49.0,1,0,1
2gb,2gb,330.0,1.0,,,35.0,123.0,1,0,1
cpu pentium,cpu pentium,133.0,1.0,537.0,3.368715084,5.0,8.0,1,1,1
ful,ful,206.0,1.0,,,35.0,33.0,1,0,1
h81m-ds2,h81m-ds2,2205.084908,,6419.0,3.497117931,1.0,1.0,0,1,1
ram 4g,ram 4G,355.0,1.0,120.0,3.65,11.0,191.0,1,1,1
acer aspire a515,acer aspire a515,315.3556544,,918.0,6.991285403,1.0,1.0,0,1,1
ban phim laptop,bàn phím laptop,573.0,1.0,3325.0,4.692631579,37.0,7.0,1,1,1
ban phim mitsumi,bàn phím mitsumi,93.0,1.0,2059.0,1.834714267,1.0,2.0,1,1,1
mortar,mortar,148.0,1.0,,,5.0,5.0,1,0,1
zh12s,zh12s,192.0,1.0,296.0,1.087837838,1.0,1.0,1,1,1
adata,adata,1885.0,1.0,,,71.0,40.0,1,0,1
aipoo,Aipoo,267.0,1.0,,,5.0,5.0,1,0,1
asus tp410ua,asus tp410ua,58.0,1.0,472.0,7.112288136,2.0,3.0,1,1,1
chuot laptop,chuột laptop,560.6322745,,1632.0,4.754887877,2.0,0.0,0,1,1
dell inspiron 7570,dell inspiron 7570,327.0,1.0,1965.0,4.609160305,3.0,3.0,1,1,1
h81,h81,2252.0,1.0,,,2.0,3.0,1,0,1
hp pavilion 15-cc157tx,hp pavilion 15-cc157tx,157.3343025,,458.0,1.879912664,1.0,33.0,0,1,1
hp pavilion power 15,hp pavilion power 15,421.1612553,,1226.0,2.493474715,68.0,30.0,0,1,1
intel optane 16gb,intel optane 16gb,317.4168025,,924.0,3.492424242,2.0,1.0,0,1,1
may cham cong van tay,máy chấm công vân tay,103.0,1.0,9981.0,4.074585134,4.0,13.0,1,1,1
may tinh pc,máy tính pc,182.0,1.0,3150.0,2.507133139,163.0,199.0,1,1,1
s510uq,S510UQ,240.0,1.0,,,2.0,2.0,1,0,1
swift 5,swift 5,77.0,1.0,526.0,5.577946768,4.0,15.0,1,1,1
ux430ua,ux430ua,170.0,1.0,187.0,8.278074866,4.0,4.0,1,1,1
yoga book,yoga book,203.0,1.0,,,1.0,2.0,1,0,1
aorus,aorus,3879.0,1.0,1680.0,8.028571429,23.0,31.0,1,1,1
e6410,e6410,239.0931759,,696.0,2.511494253,1.0,0.0,0,1,1
hdmi to vga,hdmi to vga,518.0,1.0,3188.0,8.033249686,150.0,95.0,1,1,1
itx,itx,170.0,1.0,,,4.0,4.0,1,0,1
laptop tot nhat 2018,laptop tốt nhất 2018,205.4277575,,598.0,6.026755853,7.0,0.0,0,1,1
tplink 841,tplink 841,442.80331,,1289.0,3.501939488,1.0,0.0,0,1,1
usb 128gb,usb 128gb,112.0,1.0,1332.0,5.497747748,2.0,3.0,1,1,1
windows 10 ban quyen,windows 10 bản quyền,266.2316255,,775.0,5.517419355,49.0,0.0,0,1,1
xeon e3,xeon e3,97.0,1.0,732.0,3.558743169,2.0,2.0,1,1,1
xps,xps,1006.0,1.0,692.0,5.421965318,7.0,7.0,1,1,1
32gb,32gb,307.0,1.0,,,60.0,68.0,1,0,1
850,850,366.0,1.0,,,11.0,5.0,1,0,1
amd ryzen 5 2600,amd ryzen 5 2600,181.38103,,528.0,3.630681818,2.0,0.0,0,1,1
bose companion 2 series iii,bose companion 2 series iii,152.1814324,,443.0,3.433408578,1.0,0.0,0,1,1
dell inspiron 5370,dell inspiron 5370,84.0,1.0,996.0,3.779116466,6.0,6.0,1,1,1
dell n3567,Dell n3567,153.0,1.0,,,7.0,0.0,1,0,1
dell xps 13 9360 i7,dell xps 13 9360 i7,160.0825,,466.0,5.896995708,24.0,0.0,0,1,1
hp 15,hp 15,302.0,1.0,,,32.0,60.0,1,0,1
hp probook 450,hp probook 450,137.0,1.0,621.0,6.39452496,7.0,12.0,1,1,1
kaspersky internet security,kaspersky internet security,77.0,1.0,19075.0,7.767391874,4.0,4.0,1,1,1
m87s,m87s,911.0,1.0,1280.0,4.8390625,1.0,1.0,1,1,1
ram rgb,ram rgb,303.0,1.0,,,34.0,12.0,1,0,1
520,520,342.0,1.0,,,28.0,61.0,1,0,1
asrock,asrock,1445.0,1.0,1156.0,4.704152249,16.0,23.0,1,1,1
ban phim co razer,bàn phím cơ razer,170.0,1.0,279.0,7.043010753,4.0,137.0,1,1,1
ban phim may tinh choi game,bàn phím máy tính chơi game,152.524957,,444.0,2.11036036,741.0,15.0,0,1,1
box o cung,box ổ cứng,3672.0,1.0,4502.0,4.6500610023333335,42.0,45.0,1,1,3
cach tim iphone,cách tìm iphone,483.6827467,,1408.0,8.699573864,974.0,0.0,0,1,1
ddr,Ddr,1656.0,1.0,,,242.0,230.0,1,0,1
epson l310,epson l310,84.0,1.0,5030.0,3.862027833,1.0,1.0,1,1,1
g900,g900,313.0,1.0,1023.0,4.916911046,1.0,1.0,1,1,1
gia ram 4g,giá ram 4g,194.0914431,,565.0,1.968984282,767.0,0.0,0,1,1
laptop dell vostro,laptop dell vostro,1036.0,1.0,1371.0,5.095550693,37.0,41.0,1,1,1
m331,m331,416.0,1.0,278.0,4.81294964,3.0,3.0,1,1,1
may tinh msi,máy tính msi,719.6842005,,2095.0,3.304722955,21.0,25.0,0,1,1
microlab,microlab,480.0,1.0,3008.0,3.859707447,25.0,28.0,1,1,1
pin laptop hp,pin laptop hp,213.0,1.0,,,13.0,2.0,1,0,1
quat cpu,quạt cpu,1391.0,1.0,1296.0,2.152444312,26.0,27.0,1,1,1
ram ddr,ram ddr,226.0,1.0,,,225.0,24.0,1,0,1
s410ua,s410ua,178.0,1.0,156.0,6.192307692,4.0,5.0,1,1,1
vostro 5568,vostro 5568,152.0,1.0,619.0,4.55088853,7.0,9.0,1,1,1
genius,genius,551.0,1.0,,,7.0,8.0,1,0,1
laptop ssd,laptop ssd,118.0,1.0,1215.0,7.241152263,1.0,5.0,1,1,1
man hinh may tinh,man hinh may tinh,829.6120974,,3233.0,1.1148351650000001,1945.0,0.0,0,1,2
may in canon lbp 2900,máy in canon lbp 2900,601.1681866,,1750.0,3.024,1.0,0.0,0,1,1
qua,qua,210.0,1.0,,,191.0,148.0,1,0,1
r400,r400,191.0,1.0,61.0,3.06557377,1.0,1.0,1,1,1
roccat,roccat,909.0,1.0,,,1.0,3.0,1,0,1
seagate 1tb,seagate 1tb,244.0,1.0,300.0,1.473333333,14.0,16.0,1,1,1
1800027,1800027,184.0,1.0,,,1.0,1.0,1,0,1
320,320,362.0,1.0,,,33.0,50.0,1,0,1
6tb,6tb,236.0,1.0,,,14.0,14.0,1,0,1
asus prime,Asus prime,383.0,1.0,,,19.0,29.0,1,0,1
but trinh chieu logitech,bút trình chiếu logitech,420.4742059,,1224.0,5.527777778,74.0,1.0,0,1,1
card man hinh 2gb,card màn hình 2gb,83.0,1.0,510.0,2.443009207,15.0,102.0,1,1,1
core i5 4460,core i5 4460,577.8085085,,1682.0,4.135552913,176.0,0.0,0,1,1
ddr3 8gb,ddr3 8gb,266.0,1.0,1085.0,1.269124424,18.0,25.0,1,1,1
man hinh 144hz,màn hình 144hz,154.0,1.0,2551.0,4.702540763,3.0,4.0,1,1,1
man hinh samsung,màn hình samsung,5031.0,1.0,11448.0,4.50996416,2485.0,34.0,1,1,2
probook,probook,386.0,1.0,215.0,2.474418605,20.0,31.0,1,1,1
rog,rog,1815.0,1.0,,,34.0,36.0,1,0,1
tui chong,túi chông,151.0,1.0,,,13.0,9.0,1,0,1
usb 32,usb 32,176.0,1.0,,,2.0,32.0,1,0,1
ve sinh laptop,vệ sinh laptop,177.0,1.0,1307.0,8.500382555,2063.0,1.0,1,1,1
1030,1030,5750.0,1.0,954.0,3.846960168,3.0,10.0,1,1,1
16gb,16gb,2114.0,1.0,,,110.0,119.0,1,0,1
300,300,330.0,1.0,,,63.0,7.0,1,0,1
asus s510ua,asus s510ua,68.0,1.0,460.0,7.063043478,2.0,3.0,1,1,1
bus ram,bus ram,436.2763411,,1270.0,1.662992126,2.0,4.0,0,1,1
gigabyte z370,gigabyte z370,186.0,1.0,156.0,5.557692308,8.0,9.0,1,1,1
l360,l360,196.0,1.0,122.0,3.393442623,1.0,1.0,1,1,1
lan,lan,561.0,1.0,,,19.0,41.0,1,0,1
laptop toshiba,laptop toshiba,115.0,1.0,2047.0,6.208597948,12.0,2.0,1,1,1
